,manufacturer,model,year,cyl,cty,hwy,fl,class
1,audi,a4,1999,4,18,29,p,compact
2,audi,a4,1999,4,21,29,p,compact
3,audi,a4,2008,4,20,31,p,compact
4,audi,a4,2008,4,21,30,p,compact
5,audi,a4,1999,6,16,26,p,compact
6,audi,a4,1999,6,18,26,p,compact
7,audi,a4,2008,6,18,27,p,compact
8,audi,a4 quattro,1999,4,18,26,p,compact
9,audi,a4 quattro,1999,4,16,25,p,compact
10,audi,a4 quattro,2008,4,20,28,p,compact
11,audi,a4 quattro,2006,4,19,27,p,compact
12,audi,a4 quattro,1999,6,15,25,p,compact
13,audi,a4 quattro,1999,6,17,25,p,compact
14,audi,a4 quattro,2008,6,17,25,p,compact
15,audi,a4 quattro,2008,6,15,25,p,compact
16,audi,a6 quattro,1999,6,15,24,p,midsize
17,audi,a6 quattro,2008,6,17,25,p,midsize
18,audi,a6 quattro,2008,8,16,23,p,midsize
19,chevrolet,c1500 suburban 2wd,2008,8,14,20,r,suv
20,chevrolet,c1500 suburban 2wd,2006,8,11,15,e,suv
